date,consumo_turistico_interior_total,lag_1,lag_2,lag_3,lag_4,roll_mean_2,roll_mean_4,q2,q3,q4,covid,trend
1994-01-01,66.8,68.4,68.6,68.1,63.7,68.5,67.2,0,0,0,0,4
1994-04-01,72.3,66.8,68.4,68.6,68.1,67.6,67.975,1,0,0,0,5
1994-07-01,73.3,72.3,66.8,68.4,68.6,69.55,69.02499999999999,0,1,0,0,6
1994-10-01,72.6,73.3,72.3,66.8,68.4,72.8,70.2,0,0,1,0,7
1995-01-01,63.2,72.6,73.3,72.3,66.8,72.94999999999999,71.25,0,0,0,0,8
1995-04-01,62.3,63.2,72.6,73.3,72.3,67.9,70.35,1,0,0,0,9
1995-07-01,62.2,62.3,63.2,72.6,73.3,62.75,67.85,0,1,0,0,10
1995-10-01,63.3,62.2,62.3,63.2,72.6,62.25,65.075,0,0,1,0,11
1996-01-01,60.6,63.3,62.2,62.3,63.2,62.75,62.75,0,0,0,0,12
1996-04-01,62.5,60.6,63.3,62.2,62.3,61.95,62.1,1,0,0,0,13
1996-07-01,62.0,62.5,60.6,63.3,62.2,61.55,62.15,0,1,0,0,14
1996-10-01,63.7,62.0,62.5,60.6,63.3,62.25,62.099999999999994,0,0,1,0,15
1997-01-01,63.7,63.7,62.0,62.5,60.6,62.85,62.2,0,0,0,0,16
1997-04-01,66.6,63.7,63.7,62.0,62.5,63.7,62.975,1,0,0,0,17
1997-07-01,66.5,66.6,63.7,63.7,62.0,65.15,64.0,0,1,0,0,18
1997-10-01,67.2,66.5,66.6,63.7,63.7,66.55,65.125,0,0,1,0,19
1998-01-01,67.2,67.2,66.5,66.6,63.7,66.85,66.0,0,0,0,0,20
1998-04-01,69.6,67.2,67.2,66.5,66.6,67.2,66.875,1,0,0,0,21
1998-07-01,70.8,69.6,67.2,67.2,66.5,68.4,67.625,0,1,0,0,22
1998-10-01,70.2,70.8,69.6,67.2,67.2,70.19999999999999,68.7,0,0,1,0,23
1999-01-01,70.6,70.2,70.8,69.6,67.2,70.5,69.45,0,0,0,0,24
1999-04-01,71.7,70.6,70.2,70.8,69.6,70.4,70.3,1,0,0,0,25
1999-07-01,72.5,71.7,70.6,70.2,70.8,71.15,70.825,0,1,0,0,26
1999-10-01,71.1,72.5,71.7,70.6,70.2,72.1,71.25,0,0,1,0,27
2000-01-01,72.5,71.1,72.5,71.7,70.6,71.8,71.475,0,0,0,0,28
2000-04-01,74.9,72.5,71.1,72.5,71.7,71.8,71.95,1,0,0,0,29
2000-07-01,74.4,74.9,72.5,71.1,72.5,73.7,72.75,0,1,0,0,30
2000-10-01,73.4,74.4,74.9,72.5,71.1,74.65,73.22500000000001,0,0,1,0,31
2001-01-01,76.2,73.4,74.4,74.9,72.5,73.9,73.8,0,0,0,0,32
2001-04-01,76.5,76.2,73.4,74.4,74.9,74.80000000000001,74.725,1,0,0,0,33
2001-07-01,74.3,76.5,76.2,73.4,74.4,76.35,75.125,0,1,0,0,34
2001-10-01,72.0,74.3,76.5,76.2,73.4,75.4,75.1,0,0,1,0,35
2002-01-01,73.0,72.0,74.3,76.5,76.2,73.15,74.75,0,0,0,0,36
2002-04-01,75.5,73.0,72.0,74.3,76.5,72.5,73.95,1,0,0,0,37
2002-07-01,73.9,75.5,73.0,72.0,74.3,74.25,73.7,0,1,0,0,38
2002-10-01,73.1,73.9,75.5,73.0,72.0,74.7,73.6,0,0,1,0,39
2003-01-01,74.6,73.1,73.9,75.5,73.0,73.5,73.875,0,0,0,0,40
2003-04-01,75.2,74.6,73.1,73.9,75.5,73.85,74.27499999999999,1,0,0,0,41
2003-07-01,73.3,75.2,74.6,73.1,73.9,74.9,74.19999999999999,0,1,0,0,42
2003-10-01,73.7,73.3,75.2,74.6,73.1,74.25,74.05,0,0,1,0,43
2004-01-01,75.6,73.7,73.3,75.2,74.6,73.5,74.19999999999999,0,0,0,0,44
2004-04-01,77.4,75.6,73.7,73.3,75.2,74.65,74.45,1,0,0,0,45
2004-07-01,75.3,77.4,75.6,73.7,73.3,76.5,75.0,0,1,0,0,46
2004-10-01,75.6,75.3,77.4,75.6,73.7,76.35,75.5,0,0,1,0,47
2005-01-01,78.6,75.6,75.3,77.4,75.6,75.44999999999999,75.975,0,0,0,0,48
2005-04-01,78.6,78.6,75.6,75.3,77.4,77.1,76.725,1,0,0,0,49
2005-07-01,76.3,78.6,78.6,75.6,75.3,78.6,77.02499999999999,0,1,0,0,50
2005-10-01,75.4,76.3,78.6,78.6,75.6,77.44999999999999,77.27499999999999,0,0,1,0,51
2006-01-01,78.0,75.4,76.3,78.6,78.6,75.85,77.225,0,0,0,0,52
2006-04-01,80.6,78.0,75.4,76.3,78.6,76.7,77.07499999999999,1,0,0,0,53
2006-07-01,78.4,80.6,78.0,75.4,76.3,79.3,77.575,0,1,0,0,54
2006-10-01,79.5,78.4,80.6,78.0,75.4,79.5,78.1,0,0,1,0,55
2007-01-01,82.9,79.5,78.4,80.6,78.0,78.95,79.125,0,0,0,0,56
2007-04-01,83.0,82.9,79.5,78.4,80.6,81.2,80.35,1,0,0,0,57
2007-07-01,80.5,83.0,82.9,79.5,78.4,82.95,80.95,0,1,0,0,58
2007-10-01,80.9,80.5,83.0,82.9,79.5,81.75,81.475,0,0,1,0,59
2008-01-01,82.2,80.9,80.5,83.0,82.9,80.7,81.825,0,0,0,0,60
2008-04-01,81.8,82.2,80.9,80.5,83.0,81.55000000000001,81.65,1,0,0,0,61
2008-07-01,78.3,81.8,82.2,80.9,80.5,82.0,81.35,0,1,0,0,62
2008-10-01,79.7,78.3,81.8,82.2,80.9,80.05,80.8,0,0,1,0,63
2009-01-01,81.7,79.7,78.3,81.8,82.2,79.0,80.5,0,0,0,0,64
2009-04-01,75.3,81.7,79.7,78.3,81.8,80.7,80.375,1,0,0,0,65
2009-07-01,77.8,75.3,81.7,79.7,78.3,78.5,78.75,0,1,0,0,66
2009-10-01,79.2,77.8,75.3,81.7,79.7,76.55,78.625,0,0,1,0,67
2010-01-01,81.3,79.2,77.8,75.3,81.7,78.5,78.5,0,0,0,0,68
2010-04-01,79.4,81.3,79.2,77.8,75.3,80.25,78.4,1,0,0,0,69
2010-07-01,78.2,79.4,81.3,79.2,77.8,80.35,79.425,0,1,0,0,70
2010-10-01,77.2,78.2,79.4,81.3,79.2,78.80000000000001,79.525,0,0,1,0,71
2011-01-01,79.0,77.2,78.2,79.4,81.3,77.7,79.025,0,0,0,0,72
2011-04-01,79.7,79.0,77.2,78.2,79.4,78.1,78.45,1,0,0,0,73
2011-07-01,79.8,79.7,79.0,77.2,78.2,79.35,78.525,0,1,0,0,74
2011-10-01,82.1,79.8,79.7,79.0,77.2,79.75,78.925,0,0,1,0,75
2012-01-01,81.7,82.1,79.8,79.7,79.0,80.94999999999999,80.15,0,0,0,0,76
2012-04-01,83.1,81.7,82.1,79.8,79.7,81.9,80.825,1,0,0,0,77
2012-07-01,81.8,83.1,81.7,82.1,79.8,82.4,81.675,0,1,0,0,78
2012-10-01,82.3,81.8,83.1,81.7,82.1,82.44999999999999,82.175,0,0,1,0,79
2013-01-01,82.3,82.3,81.8,83.1,81.7,82.05,82.225,0,0,0,0,80
2013-04-01,83.7,82.3,82.3,81.8,83.1,82.3,82.375,1,0,0,0,81
2013-07-01,83.5,83.7,82.3,82.3,81.8,83.0,82.525,0,1,0,0,82
2013-10-01,85.5,83.5,83.7,82.3,82.3,83.6,82.94999999999999,0,0,1,0,83
2014-01-01,85.3,85.5,83.5,83.7,82.3,84.5,83.75,0,0,0,0,84
2014-04-01,85.9,85.3,85.5,83.5,83.7,85.4,84.5,1,0,0,0,85
2014-07-01,85.2,85.9,85.3,85.5,83.5,85.6,85.05,0,1,0,0,86
2014-10-01,86.4,85.2,85.9,85.3,85.5,85.55000000000001,85.475,0,0,1,0,87
2015-01-01,89.5,86.4,85.2,85.9,85.3,85.80000000000001,85.7,0,0,0,0,88
2015-04-01,90.9,89.5,86.4,85.2,85.9,87.95,86.75,1,0,0,0,89
2015-07-01,91.6,90.9,89.5,86.4,85.2,90.2,88.0,0,1,0,0,90
2015-10-01,94.3,91.6,90.9,89.5,86.4,91.25,89.6,0,0,1,0,91
2016-01-01,95.0,94.3,91.6,90.9,89.5,92.94999999999999,91.575,0,0,0,0,92
2016-04-01,95.2,95.0,94.3,91.6,90.9,94.65,92.95,1,0,0,0,93
2016-07-01,92.9,95.2,95.0,94.3,91.6,95.1,94.02499999999999,0,1,0,0,94
2016-10-01,95.4,92.9,95.2,95.0,94.3,94.05000000000001,94.35,0,0,1,0,95
2017-01-01,99.6,95.4,92.9,95.2,95.0,94.15,94.625,0,0,0,0,96
2017-04-01,97.9,99.6,95.4,92.9,95.2,97.5,95.775,1,0,0,0,97
2017-07-01,90.8,97.9,99.6,95.4,92.9,98.75,96.45,0,1,0,0,98
2017-10-01,91.7,90.8,97.9,99.6,95.4,94.35,95.925,0,0,1,0,99
2018-01-01,99.9,91.7,90.8,97.9,99.6,91.25,95.0,0,0,0,0,100
2018-04-01,103.3,99.9,91.7,90.8,97.9,95.80000000000001,95.07499999999999,1,0,0,0,101
2018-07-01,98.9,103.3,99.9,91.7,90.8,101.6,96.425,0,1,0,0,102
2018-10-01,97.8,98.9,103.3,99.9,91.7,101.1,98.45,0,0,1,0,103
2019-01-01,100.8,97.8,98.9,103.3,99.9,98.35,99.975,0,0,0,0,104
2019-04-01,101.9,100.8,97.8,98.9,103.3,99.3,100.2,1,0,0,0,105
2019-07-01,101.3,101.9,100.8,97.8,98.9,101.35,99.85000000000001,0,1,0,0,106
2019-10-01,101.1,101.3,101.9,100.8,97.8,101.6,100.44999999999999,0,0,1,0,107
2020-01-01,101.9,101.1,101.3,101.9,100.8,101.19999999999999,101.275,0,0,0,1,108
2020-04-01,56.0,101.9,101.1,101.3,101.9,101.5,101.55000000000001,1,0,0,1,109
2020-07-01,67.2,56.0,101.9,101.1,101.3,78.95,90.07499999999999,0,1,0,1,110
2020-10-01,77.9,67.2,56.0,101.9,101.1,61.6,81.55000000000001,0,0,1,1,111
2021-01-01,76.6,77.9,67.2,56.0,101.9,72.55000000000001,75.75,0,0,0,1,112
2021-04-01,86.7,76.6,77.9,67.2,56.0,77.25,69.425,1,0,0,1,113
2021-07-01,90.0,86.7,76.6,77.9,67.2,81.65,77.1,0,1,0,1,114
2021-10-01,95.7,90.0,86.7,76.6,77.9,88.35,82.80000000000001,0,0,1,1,115
2022-01-01,95.9,95.7,90.0,86.7,76.6,92.85,87.25,0,0,0,0,116
2022-04-01,100.0,95.9,95.7,90.0,86.7,95.80000000000001,92.075,1,0,0,0,117
2022-07-01,98.5,100.0,95.9,95.7,90.0,97.95,95.4,0,1,0,0,118
2022-10-01,101.3,98.5,100.0,95.9,95.7,99.25,97.525,0,0,1,0,119
2023-01-01,102.5,101.3,98.5,100.0,95.9,99.9,98.925,0,0,0,0,120
2023-04-01,101.2,102.5,101.3,98.5,100.0,101.9,100.575,1,0,0,0,121
2023-07-01,98.4,101.2,102.5,101.3,98.5,101.85,100.875,0,1,0,0,122
2023-10-01,100.5,98.4,101.2,102.5,101.3,99.80000000000001,100.85000000000001,0,0,1,0,123
2024-01-01,104.1,100.5,98.4,101.2,102.5,99.45,100.65,0,0,0,0,124
2024-04-01,100.6,104.1,100.5,98.4,101.2,102.3,101.05,1,0,0,0,125
2024-07-01,99.7,100.6,104.1,100.5,98.4,102.35,100.9,0,1,0,0,126
2024-10-01,103.0,99.7,100.6,104.1,100.5,100.15,101.225,0,0,1,0,127
2025-01-01,103.7,103.0,99.7,100.6,104.1,101.35,101.85,0,0,0,0,128
2025-04-01,102.0,103.7,103.0,99.7,100.6,103.35,101.75,1,0,0,0,129
2025-07-01,100.4,102.0,103.7,103.0,99.7,102.85,102.1,0,1,0,0,130
