date,ivf_turistico_total,lag_1,lag_2,lag_3,lag_4,roll_mean_2,roll_mean_4,q2,q3,q4,covid,trend
1994-01-01,72.5,75.8,74.9,74.2,69.5,75.35,73.6,0,0,0,0,4
1994-04-01,78.1,72.5,75.8,74.9,74.2,74.15,74.35,1,0,0,0,5
1994-07-01,79.3,78.1,72.5,75.8,74.9,75.3,75.325,0,1,0,0,6
1994-10-01,79.4,79.3,78.1,72.5,75.8,78.69999999999999,76.425,0,0,1,0,7
1995-01-01,71.4,79.4,79.3,78.1,72.5,79.35,77.325,0,0,0,0,8
1995-04-01,70.2,71.4,79.4,79.3,78.1,75.4,77.05,1,0,0,0,9
1995-07-01,69.7,70.2,71.4,79.4,79.3,70.80000000000001,75.075,0,1,0,0,10
1995-10-01,72.0,69.7,70.2,71.4,79.4,69.95,72.675,0,0,1,0,11
1996-01-01,69.0,72.0,69.7,70.2,71.4,70.85,70.825,0,0,0,0,12
1996-04-01,70.1,69.0,72.0,69.7,70.2,70.5,70.225,1,0,0,0,13
1996-07-01,69.3,70.1,69.0,72.0,69.7,69.55,70.2,0,1,0,0,14
1996-10-01,71.9,69.3,70.1,69.0,72.0,69.69999999999999,70.1,0,0,1,0,15
1997-01-01,71.8,71.9,69.3,70.1,69.0,70.6,70.075,0,0,0,0,16
1997-04-01,73.7,71.8,71.9,69.3,70.1,71.85,70.775,1,0,0,0,17
1997-07-01,73.4,73.7,71.8,71.9,69.3,72.75,71.675,0,1,0,0,18
1997-10-01,74.7,73.4,73.7,71.8,71.9,73.55000000000001,72.7,0,0,1,0,19
1998-01-01,74.5,74.7,73.4,73.7,71.8,74.05000000000001,73.4,0,0,0,0,20
1998-04-01,75.9,74.5,74.7,73.4,73.7,74.6,74.075,1,0,0,0,21
1998-07-01,77.1,75.9,74.5,74.7,73.4,75.2,74.625,0,1,0,0,22
1998-10-01,77.3,77.1,75.9,74.5,74.7,76.5,75.55,0,0,1,0,23
1999-01-01,77.6,77.3,77.1,75.9,74.5,77.19999999999999,76.2,0,0,0,0,24
1999-04-01,77.6,77.6,77.3,77.1,75.9,77.44999999999999,76.975,1,0,0,0,25
1999-07-01,77.9,77.6,77.6,77.3,77.1,77.6,77.39999999999999,0,1,0,0,26
1999-10-01,77.3,77.9,77.6,77.6,77.3,77.75,77.6,0,0,1,0,27
2000-01-01,80.4,77.3,77.9,77.6,77.6,77.6,77.6,0,0,0,0,28
2000-04-01,82.4,80.4,77.3,77.9,77.6,78.85,78.3,1,0,0,0,29
2000-07-01,81.2,82.4,80.4,77.3,77.9,81.4,79.5,0,1,0,0,30
2000-10-01,81.1,81.2,82.4,80.4,77.3,81.80000000000001,80.325,0,0,1,0,31
2001-01-01,83.6,81.1,81.2,82.4,80.4,81.15,81.275,0,0,0,0,32
2001-04-01,83.0,83.6,81.1,81.2,82.4,82.35,82.075,1,0,0,0,33
2001-07-01,80.1,83.0,83.6,81.1,81.2,83.3,82.225,0,1,0,0,34
2001-10-01,79.0,80.1,83.0,83.6,81.1,81.55,81.94999999999999,0,0,1,0,35
2002-01-01,79.8,79.0,80.1,83.0,83.6,79.55,81.425,0,0,0,0,36
2002-04-01,81.8,79.8,79.0,80.1,83.0,79.4,80.475,1,0,0,0,37
2002-07-01,79.9,81.8,79.8,79.0,80.1,80.8,80.175,0,1,0,0,38
2002-10-01,80.7,79.9,81.8,79.8,79.0,80.85,80.125,0,0,1,0,39
2003-01-01,82.8,80.7,79.9,81.8,79.8,80.30000000000001,80.55,0,0,0,0,40
2003-04-01,82.5,82.8,80.7,79.9,81.8,81.75,81.3,1,0,0,0,41
2003-07-01,79.6,82.5,82.8,80.7,79.9,82.65,81.475,0,1,0,0,42
2003-10-01,81.4,79.6,82.5,82.8,80.7,81.05,81.4,0,0,1,0,43
2004-01-01,85.0,81.4,79.6,82.5,82.8,80.5,81.575,0,0,0,0,44
2004-04-01,86.4,85.0,81.4,79.6,82.5,83.2,82.125,1,0,0,0,45
2004-07-01,83.7,86.4,85.0,81.4,79.6,85.7,83.1,0,1,0,0,46
2004-10-01,86.4,83.7,86.4,85.0,81.4,85.05000000000001,84.125,0,0,1,0,47
2005-01-01,88.4,86.4,83.7,86.4,85.0,85.05000000000001,85.375,0,0,0,0,48
2005-04-01,87.4,88.4,86.4,83.7,86.4,87.4,86.22500000000001,1,0,0,0,49
2005-07-01,84.0,87.4,88.4,86.4,83.7,87.9,86.475,0,1,0,0,50
2005-10-01,84.7,84.0,87.4,88.4,86.4,85.7,86.55,0,0,1,0,51
2006-01-01,87.6,84.7,84.0,87.4,88.4,84.35,86.125,0,0,0,0,52
2006-04-01,89.7,87.6,84.7,84.0,87.4,86.15,85.925,1,0,0,0,53
2006-07-01,86.4,89.7,87.6,84.7,84.0,88.65,86.5,0,1,0,0,54
2006-10-01,89.9,86.4,89.7,87.6,84.7,88.05000000000001,87.10000000000001,0,0,1,0,55
2007-01-01,93.3,89.9,86.4,89.7,87.6,88.15,88.4,0,0,0,0,56
2007-04-01,92.1,93.3,89.9,86.4,89.7,91.6,89.825,1,0,0,0,57
2007-07-01,88.5,92.1,93.3,89.9,86.4,92.69999999999999,90.42500000000001,0,1,0,0,58
