date,ivf_turistico_servicios,lag_1,lag_2,lag_3,lag_4,roll_mean_2,roll_mean_4,q2,q3,q4,covid,trend,gasto_medio__excursionistas_fronterizos__en_automoviles__entrada,gasto_medio__excursionistas_fronterizos__en_automoviles__salida,gasto_medio__excursionistas_fronterizos__peatones__entrada,gasto_medio__excursionistas_fronterizos__peatones__salida,gasto_medio__turistas_de_internacion__via_aerea__entrada,gasto_medio__turistas_de_internacion__via_aerea__salida,gasto_medio__turistas_de_internacion__via_terrestre__entrada,gasto_medio__turistas_de_internacion__via_terrestre__salida,gasto_medio__turistas_fronterizos__en_automoviles__entrada,gasto_medio__turistas_fronterizos__en_automoviles__salida,gasto_medio__turistas_fronterizos__peatones__entrada,gasto_medio__turistas_fronterizos__peatones__salida,gasto_total__excursionistas_fronterizos__en_automoviles__entrada,gasto_total__excursionistas_fronterizos__en_automoviles__salida,gasto_total__excursionistas_fronterizos__peatones__entrada,gasto_total__excursionistas_fronterizos__peatones__salida,gasto_total__turistas_de_internacion__via_aerea__entrada,gasto_total__turistas_de_internacion__via_aerea__salida,gasto_total__turistas_de_internacion__via_terrestre__entrada,gasto_total__turistas_de_internacion__via_terrestre__salida,gasto_total__turistas_fronterizos__en_automoviles__entrada,gasto_total__turistas_fronterizos__en_automoviles__salida,gasto_total__turistas_fronterizos__peatones__entrada,gasto_total__turistas_fronterizos__peatones__salida,num_visitantes__excursionistas_fronterizos__en_automoviles__entrada,num_visitantes__excursionistas_fronterizos__en_automoviles__salida,num_visitantes__excursionistas_fronterizos__peatones__entrada,num_visitantes__excursionistas_fronterizos__peatones__salida,num_visitantes__turistas_de_internacion__via_aerea__entrada,num_visitantes__turistas_de_internacion__via_aerea__salida,num_visitantes__turistas_de_internacion__via_terrestre__entrada,num_visitantes__turistas_de_internacion__via_terrestre__salida,num_visitantes__turistas_fronterizos__en_automoviles__entrada,num_visitantes__turistas_fronterizos__en_automoviles__salida,num_visitantes__turistas_fronterizos__peatones__entrada,num_visitantes__turistas_fronterizos__peatones__salida
1994-01-01,63.4,66.2,64.6,64.8,60.6,65.39999999999999,64.05,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,420.7709999999994,1114.4132857142858,575.5339999999998,0.0,72.53771428571432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94850878.17142852,0.0,0.0,0.0,11603355.514285715,7314671.157142856,2275815.957142855,1629075.157142857,2614421.8142857137,0.0,0.0,0.0,457989.5142857137,1027177.1285714286,59971.99999999988,644255.0857142857,622659.8142857141
1994-04-01,67.9,63.4,66.2,64.6,64.8,64.8,64.75,1,0,0,0,5,0.0,0.0,0.0,0.0,0.0,554.6995714285711,1020.0490000000002,594.0268571428569,0.0,52.18914285714291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102900355.45714286,0.0,0.0,0.0,9622350.65714286,6963875.157142857,1263668.8142857137,1508447.5857142855,2225556.1,0.0,0.0,0.0,484314.2285714279,994766.8428571434,0.0,627256.3714285714,574773.0999999999
1994-07-01,68.5,67.9,63.4,66.2,64.6,65.65,65.525,0,1,0,0,6,0.0,0.0,0.0,0.0,0.0,554.2211607142856,1024.0529464285714,629.8423214285714,0.0,48.16785714285727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174381469.7678575,0.0,0.0,0.0,9936656.892857151,6929641.901785715,1951896.6875000044,1461267.705357143,2195617.205357144,0.0,0.0,0.0,683503.982142858,1448288.4910714312,106412.50000000084,666757.7321428574,582045.794642857
1994-10-01,69.0,68.5,67.9,63.4,66.2,68.19999999999999,66.5,0,0,1,0,7,0.0,0.0,0.0,0.0,0.0,746.7699107142848,951.6441964285718,635.572321428571,0.0,96.91285714285708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2779077.8035713136,224543956.51785648,0.0,284162.3124999255,0.0,13214633.642857136,7617080.526785712,2953053.3124999925,1751161.5803571425,2779504.0803571413,0.0,0.0,71295.70535714144,913388.9821428546,1542037.6160714263,193353.749999999,729231.7321428567,615899.9196428568
1995-01-01,62.0,69.0,68.5,67.9,63.4,68.75,67.2,0,0,0,0,8,0.0,0.0,0.0,0.0,0.0,488.25632142857086,1113.6511785714283,578.1056428571427,0.0,78.2619285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99218957.0071428,0.0,0.0,0.0,11827687.7,7257490.860714285,2477382.382142856,1634808.217857143,2620411.2749999994,0.0,0.0,0.0,477728.12857142807,1103572.7107142855,92020.99999999988,645853.7,611809.4535714284
1995-04-01,61.2,62.0,69.0,68.5,67.9,65.5,66.85,1,0,0,0,9,0.0,0.0,0.0,0.0,0.0,622.1848928571425,1019.286892857143,596.5984999999998,0.0,57.9133571428572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107268434.29285714,0.0,0.0,0.0,9846682.842857148,6906694.860714286,1465235.2392857138,1514180.6464285713,2231545.5607142854,0.0,0.0,0.0,504052.8428571422,1071162.4250000005,0.0,628854.9857142856,563922.7392857141
1995-07-01,60.8,61.2,62.0,69.0,68.5,61.599999999999994,65.175,0,1,0,0,10,0.0,0.0,0.0,0.0,0.0,621.706482142857,1023.2908392857144,632.4139642857142,0.0,53.89207142857156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178749548.6035718,0.0,0.0,0.0,10160989.07857144,6872461.605357143,2153463.1125000045,1467000.7660714288,2201606.6660714294,0.0,0.0,0.0,703242.5964285723,1524684.0732142883,138461.50000000084,668356.3464285717,571195.4339285714
1995-10-01,63.3,60.8,61.2,62.0,69.0,60.99999999999999,63.25,0,0,1,0,11,0.0,0.0,0.0,0.0,0.0,814.2552321428564,950.8820892857148,638.1439642857139,0.0,102.63707142857136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16985729.860714167,228912035.3535708,0.0,3740112.4374999255,0.0,13438965.82857142,7559900.23035714,3154619.7374999924,1756894.6410714278,2785493.541071427,0.0,0.0,114426.11607142724,933127.5964285688,1618433.1982142834,225402.749999999,730830.346428571,605049.5589285712
1996-01-01,60.6,63.3,60.8,61.2,62.0,62.04999999999999,61.825,0,0,0,0,12,0.0,0.0,0.0,0.0,0.0,555.7416428571423,1112.8890714285717,580.6772857142855,0.0,83.98614285714288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103587035.8428571,0.0,0.0,0.0,12052019.885714289,7200310.564285713,2678948.807142856,1640541.2785714285,2626400.735714285,0.0,0.0,0.0,497466.7428571424,1179968.2928571429,124069.9999999999,647452.3142857143,600959.0928571427
1996-04-01,61.6,60.6,63.3,60.8,61.2,61.94999999999999,61.475,1,0,0,0,13,0.0,0.0,0.0,0.0,0.0,689.6702142857139,1018.524785714286,599.1701428571427,0.0,63.63757142857148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111636513.12857144,0.0,0.0,0.0,10071015.028571432,6849514.564285714,1666801.6642857138,1519913.707142857,2237535.021428571,0.0,0.0,0.0,523791.45714285655,1147558.0071428576,22700.714285714348,630453.6,553072.3785714285
