date,year,quarter,consumo_privado_nacional,consumo_turistico_interior_total,consumo_turistico_interior_interno,consumo_turistico_interior_receptivo
1993-01-01,1993,T1,54.4,63.7,70.4,30.4
1993-04-01,1993,T2,56.4,68.1,76.7,26.0
1993-07-01,1993,T3,55.5,68.6,77.5,25.0
1993-10-01,1993,T4,58.1,68.4,75.8,31.8
1994-01-01,1994,T1,55.5,66.8,73.9,32.0
1994-04-01,1994,T2,59.0,72.3,81.6,26.7
1994-07-01,1994,T3,59.0,73.3,82.9,25.9
1994-10-01,1994,T4,60.7,72.6,80.6,33.2
1995-01-01,1995,T1,56.4,63.2,68.0,39.3
1995-04-01,1995,T2,56.3,62.3,68.8,30.1
1995-07-01,1995,T3,55.7,62.2,69.3,27.3
1995-10-01,1995,T4,57.9,63.3,68.6,37.2
1996-01-01,1996,T1,56.5,60.6,63.7,45.2
1996-04-01,1996,T2,57.8,62.5,68.0,35.3
1996-07-01,1996,T3,58.1,62.0,68.1,32.2
1996-10-01,1996,T4,60.9,63.7,69.2,36.6
1997-01-01,1997,T1,58.8,63.7,66.8,48.3
1997-04-01,1997,T2,62.6,66.6,72.7,36.3
1997-07-01,1997,T3,62.3,66.5,73.0,34.4
1997-10-01,1997,T4,64.9,67.2,72.8,39.4
1998-01-01,1998,T1,63.8,67.2,72.2,42.7
1998-04-01,1998,T2,66.2,69.6,76.3,36.7
1998-07-01,1998,T3,66.3,70.8,77.6,37.4
1998-10-01,1998,T4,68.0,70.2,76.1,41.0
1999-01-01,1999,T1,65.8,70.6,75.2,48.2
1999-04-01,1999,T2,68.3,71.7,78.4,38.4
1999-07-01,1999,T3,69.3,72.5,80.6,32.8
1999-10-01,1999,T4,71.0,71.1,78.4,35.5
2000-01-01,2000,T1,70.8,72.5,78.1,44.8
2000-04-01,2000,T2,73.2,74.9,82.0,39.7
2000-07-01,2000,T3,74.2,74.4,82.5,35.0
2000-10-01,2000,T4,75.4,73.4,80.6,38.2
2001-01-01,2001,T1,73.2,76.2,82.3,46.1
2001-04-01,2001,T2,75.5,76.5,84.2,38.5
2001-07-01,2001,T3,75.1,74.3,82.7,32.6
2001-10-01,2001,T4,76.1,72.0,79.6,34.3
2002-01-01,2002,T1,73.1,73.0,79.5,41.4
2002-04-01,2002,T2,77.3,75.5,83.0,38.6
2002-07-01,2002,T3,76.4,73.9,81.2,38.5
2002-10-01,2002,T4,77.1,73.1,79.2,43.4
2003-01-01,2003,T1,75.7,74.6,79.4,50.9
2003-04-01,2003,T2,78.6,75.2,81.7,43.1
2003-07-01,2003,T3,78.0,73.3,79.6,42.5
2003-10-01,2003,T4,79.6,73.7,79.0,47.3
2004-01-01,2004,T1,77.2,75.6,80.5,52.0
2004-04-01,2004,T2,79.7,77.4,83.4,48.0
2004-07-01,2004,T3,79.3,75.3,81.3,45.3
2004-10-01,2004,T4,81.1,75.6,80.7,50.3
2005-01-01,2005,T1,77.4,78.6,82.8,58.1
2005-04-01,2005,T2,81.1,78.6,84.4,50.1
2005-07-01,2005,T3,80.9,76.3,82.9,43.9
2005-10-01,2005,T4,82.7,75.4,82.1,42.9
2006-01-01,2006,T1,81.1,78.0,83.5,51.0
2006-04-01,2006,T2,84.6,80.6,86.9,49.8
2006-07-01,2006,T3,83.9,78.4,85.4,43.9
2006-10-01,2006,T4,85.1,79.5,85.3,51.2
2007-01-01,2007,T1,82.6,82.9,87.8,58.7
2007-04-01,2007,T2,85.1,83.0,89.8,49.4
2007-07-01,2007,T3,84.3,80.5,87.4,46.5
2007-10-01,2007,T4,86.1,80.9,86.9,51.5
2008-01-01,2008,T1,83.4,82.2,86.6,60.9
2008-04-01,2008,T2,87.8,81.8,88.3,50.2
2008-07-01,2008,T3,85.9,78.3,85.2,44.6
2008-10-01,2008,T4,85.3,79.7,84.4,56.2
2009-01-01,2009,T1,79.0,81.7,83.8,71.4
2009-04-01,2009,T2,79.1,75.3,81.5,44.7
2009-07-01,2009,T3,80.9,77.8,84.3,45.6
2009-10-01,2009,T4,84.2,79.2,84.8,51.5
2010-01-01,2010,T1,80.5,81.3,84.9,63.3
2010-04-01,2010,T2,83.7,79.4,86.5,44.2
2010-07-01,2010,T3,84.1,78.2,85.6,41.7
2010-10-01,2010,T4,87.5,77.2,83.7,45.3
2011-01-01,2011,T1,84.9,79.0,84.5,51.6
2011-04-01,2011,T2,86.6,79.7,87.0,43.7
2011-07-01,2011,T3,88.0,79.8,87.5,42.2
2011-10-01,2011,T4,91.0,82.1,87.7,54.2
2012-01-01,2012,T1,86.4,81.7,86.2,59.5
2012-04-01,2012,T2,88.6,83.1,88.9,54.7
2012-07-01,2012,T3,89.5,81.8,88.8,47.1
2012-10-01,2012,T4,92.2,82.3,88.9,49.6
2013-01-01,2013,T1,87.7,82.3,87.4,57.2
2013-04-01,2013,T2,90.6,83.7,90.6,49.6
2013-07-01,2013,T3,90.3,83.5,90.9,47.1
2013-10-01,2013,T4,93.6,85.5,91.6,55.7
2014-01-01,2014,T1,89.7,85.3,89.6,64.2
2014-04-01,2014,T2,91.8,85.9,91.7,57.4
2014-07-01,2014,T3,92.2,85.2,92.1,51.2
2014-10-01,2014,T4,95.8,86.4,91.3,62.3
2015-01-01,2015,T1,93.1,89.5,91.5,80.0
2015-04-01,2015,T2,94.1,90.9,94.1,75.2
2015-07-01,2015,T3,95.2,91.6,96.0,70.0
2015-10-01,2015,T4,98.6,94.3,97.1,80.7
2016-01-01,2016,T1,95.7,95.0,94.5,97.2
2016-04-01,2016,T2,96.9,95.2,95.5,93.7
2016-07-01,2016,T3,97.1,92.9,94.2,86.9
2016-10-01,2016,T4,100.7,95.4,94.3,100.6
2017-01-01,2017,T1,98.0,99.6,96.8,113.1
2017-04-01,2017,T2,97.8,97.9,98.9,93.2
2017-07-01,2017,T3,97.9,90.8,92.3,83.1
2017-10-01,2017,T4,100.6,91.7,90.4,98.0
2018-01-01,2018,T1,98.6,99.9,97.8,109.9
2018-04-01,2018,T2,100.1,103.3,104.0,100.0
2018-07-01,2018,T3,99.8,98.9,101.3,87.5
2018-10-01,2018,T4,101.4,97.8,96.8,102.7
2019-01-01,2019,T1,99.8,100.8,97.2,118.2
2019-04-01,2019,T2,100.4,101.9,102.4,99.5
2019-07-01,2019,T3,100.8,101.3,103.2,92.1
2019-10-01,2019,T4,102.7,101.1,102.0,96.5
2020-01-01,2020,T1,99.7,101.9,100.7,107.4
2020-04-01,2020,T2,79.5,56.0,65.2,10.8
2020-07-01,2020,T3,89.3,67.2,74.4,31.5
2020-10-01,2020,T4,95.1,77.9,83.4,51.0
2021-01-01,2021,T1,92.8,76.6,81.7,51.7
2021-04-01,2021,T2,96.8,86.7,87.8,81.8
2021-07-01,2021,T3,97.2,90.0,90.5,87.8
2021-10-01,2021,T4,101.2,95.7,93.9,104.5
2022-01-01,2022,T1,100.4,95.9,93.9,105.7
2022-04-01,2022,T2,102.9,100.0,98.9,105.8
2022-07-01,2022,T3,102.1,98.5,98.6,98.1
2022-10-01,2022,T4,105.1,101.3,100.9,103.1
2023-01-01,2023,T1,102.8,102.5,99.9,115.5
2023-04-01,2023,T2,104.0,101.2,103.4,90.6
2023-07-01,2023,T3,104.6,98.4,103.0,75.8
2023-10-01,2023,T4,107.3,100.5,102.3,91.8
2024-01-01,2024,T1,104.6,104.1,103.0,109.6
2024-04-01,2024,T2,106.1,100.6,103.0,88.8
2024-07-01,2024,T3,106.3,99.7,103.6,81.0
2024-10-01,2024,T4,107.2,103.0,101.4,110.7
2025-01-01,2025,T1,104.9,103.7,97.8,132.7
2025-04-01,2025,T2,106.8,102.0,102.5,99.9
2025-07-01,2025,T3,106.7,100.4,104.8,79.0
