date,year,quarter,ivf_total_nacional,ivf_turistico_total,ivf_turistico_bienes,ivf_turistico_servicios
1993-01-01,1993,T1,56.6,69.5,104.0,60.6
1993-04-01,1993,T2,57.2,74.2,110.6,64.8
1993-07-01,1993,T3,57.4,74.9,114.9,64.6
1993-10-01,1993,T4,58.2,75.8,113.4,66.2
1994-01-01,1994,T1,57.9,72.5,107.8,63.4
1994-04-01,1994,T2,60.2,78.1,117.7,67.9
1994-07-01,1994,T3,59.8,79.3,121.4,68.5
1994-10-01,1994,T4,61.3,79.4,120.0,69.0
1995-01-01,1995,T1,57.6,71.4,107.8,62.0
1995-04-01,1995,T2,54.7,70.2,105.2,61.2
1995-07-01,1995,T3,55.5,69.7,104.6,60.8
1995-10-01,1995,T4,57.4,72.0,105.9,63.3
1996-01-01,1996,T1,58.5,69.0,102.0,60.6
1996-04-01,1996,T2,59.1,70.1,103.0,61.6
1996-07-01,1996,T3,59.7,69.3,103.9,60.5
1996-10-01,1996,T4,62.1,71.9,105.1,63.4
1997-01-01,1997,T1,60.9,71.8,105.8,63.1
1997-04-01,1997,T2,64.2,73.7,108.9,64.6
1997-07-01,1997,T3,64.6,73.4,109.6,64.1
1997-10-01,1997,T4,66.9,74.7,109.6,65.7
1998-01-01,1998,T1,67.1,74.5,109.6,65.4
1998-04-01,1998,T2,68.0,75.9,110.4,67.0
1998-07-01,1998,T3,68.4,77.1,114.1,67.5
1998-10-01,1998,T4,68.7,77.3,112.9,68.1
1999-01-01,1999,T1,68.6,77.6,114.0,68.3
1999-04-01,1999,T2,69.6,77.6,111.0,69.0
1999-07-01,1999,T3,70.4,77.9,113.5,68.7
1999-10-01,1999,T4,71.0,77.3,109.7,68.9
2000-01-01,2000,T1,72.6,80.4,117.9,70.8
2000-04-01,2000,T2,73.5,82.4,119.4,72.9
2000-07-01,2000,T3,74.4,81.2,117.6,71.9
2000-10-01,2000,T4,73.5,81.1,116.8,72.0
2001-01-01,2001,T1,72.7,83.6,122.8,73.5
2001-04-01,2001,T2,73.2,83.0,120.7,73.3
2001-07-01,2001,T3,73.2,80.1,116.8,70.7
2001-10-01,2001,T4,72.6,79.0,113.5,70.1
2002-01-01,2002,T1,69.9,79.8,117.6,70.0
2002-04-01,2002,T2,73.8,81.8,119.2,72.2
2002-07-01,2002,T3,73.4,79.9,117.9,70.1
2002-10-01,2002,T4,73.7,80.7,114.6,72.0
2003-01-01,2003,T1,72.1,82.8,123.0,72.5
2003-04-01,2003,T2,74.0,82.5,121.4,72.4
2003-07-01,2003,T3,73.4,79.6,118.7,69.6
2003-10-01,2003,T4,74.4,81.4,117.6,72.0
2004-01-01,2004,T1,74.4,85.0,125.6,74.5
2004-04-01,2004,T2,76.8,86.4,127.3,75.9
2004-07-01,2004,T3,75.9,83.7,123.2,73.6
2004-10-01,2004,T4,77.4,86.4,123.5,76.9
2005-01-01,2005,T1,74.7,88.4,129.2,77.9
2005-04-01,2005,T2,78.5,87.4,125.8,77.5
2005-07-01,2005,T3,77.6,84.0,123.1,73.9
2005-10-01,2005,T4,79.8,84.7,122.3,75.0
2006-01-01,2006,T1,79.1,87.6,129.9,76.7
2006-04-01,2006,T2,82.2,89.7,132.2,78.8
2006-07-01,2006,T3,81.5,86.4,128.7,75.5
2006-10-01,2006,T4,82.6,89.9,132.3,78.9
2007-01-01,2007,T1,80.8,93.3,137.1,82.0
2007-04-01,2007,T2,83.9,92.1,132.7,81.6
2007-07-01,2007,T3,83.3,88.5,127.5,78.5
2007-10-01,2007,T4,84.7,90.5,129.1,80.6
2008-01-01,2008,T1,81.3,94.2,136.4,83.4
2008-04-01,2008,T2,85.7,92.5,134.5,81.8
2008-07-01,2008,T3,84.1,87.8,125.3,78.1
2008-10-01,2008,T4,84.0,92.5,130.9,82.6
2009-01-01,2009,T1,76.0,93.0,135.0,82.2
2009-04-01,2009,T2,77.3,84.6,120.9,75.2
2009-07-01,2009,T3,79.5,86.6,123.5,77.1
2009-10-01,2009,T4,82.5,89.1,127.4,79.2
2010-01-01,2010,T1,79.7,91.8,130.2,82.0
2010-04-01,2010,T2,83.0,88.4,126.3,78.7
2010-07-01,2010,T3,83.5,86.6,122.4,77.4
2010-10-01,2010,T4,85.8,86.7,116.8,79.0
2011-01-01,2011,T1,82.8,88.5,122.1,79.8
2011-04-01,2011,T2,85.3,88.5,120.7,80.3
2011-07-01,2011,T3,86.8,88.6,119.8,80.5
2011-10-01,2011,T4,89.2,93.1,124.3,85.1
2012-01-01,2012,T1,87.0,92.0,125.5,83.4
2012-04-01,2012,T2,88.9,93.5,127.1,84.8
2012-07-01,2012,T3,89.0,91.3,121.2,83.6
2012-10-01,2012,T4,91.8,93.3,124.5,85.3
2013-01-01,2013,T1,86.9,92.1,122.5,84.3
2013-04-01,2013,T2,90.5,93.1,127.7,84.2
2013-07-01,2013,T3,90.0,92.5,122.3,84.9
2013-10-01,2013,T4,92.7,96.2,126.0,88.6
2014-01-01,2014,T1,89.0,94.2,123.2,86.8
2014-04-01,2014,T2,92.3,94.2,126.0,86.0
2014-07-01,2014,T3,92.4,92.8,121.2,85.6
2014-10-01,2014,T4,95.4,96.3,120.4,90.1
2015-01-01,2015,T1,91.6,96.3,126.8,88.5
2015-04-01,2015,T2,94.3,97.1,127.4,89.4
2015-07-01,2015,T3,95.3,97.1,127.1,89.3
2015-10-01,2015,T4,97.3,102.0,131.7,94.4
2016-01-01,2016,T1,93.1,100.9,134.0,92.3
2016-04-01,2016,T2,96.4,100.7,130.1,93.2
2016-07-01,2016,T3,96.1,97.1,118.7,91.6
2016-10-01,2016,T4,99.6,101.6,121.7,96.4
2017-01-01,2017,T1,96.2,105.1,127.8,99.2
2017-04-01,2017,T2,97.8,101.2,121.2,96.1
2017-07-01,2017,T3,97.3,93.2,101.9,91.0
2017-10-01,2017,T4,101.1,97.1,100.9,96.1
2018-01-01,2018,T1,97.2,101.6,102.0,101.5
2018-04-01,2018,T2,100.7,102.5,105.1,101.8
2018-07-01,2018,T3,99.9,97.0,96.8,97.0
2018-10-01,2018,T4,102.1,98.9,96.2,99.6
2019-01-01,2019,T1,98.1,101.5,102.0,101.4
2019-04-01,2019,T2,99.6,99.5,100.0,99.4
2019-07-01,2019,T3,99.4,97.6,98.1,97.4
2019-10-01,2019,T4,101.0,98.9,97.6,99.2
2020-01-01,2020,T1,96.9,103.8,103.7,103.8
2020-04-01,2020,T2,80.0,55.4,60.3,54.1
2020-07-01,2020,T3,91.6,66.6,67.3,66.5
2020-10-01,2020,T4,97.8,76.9,79.4,76.3
2021-01-01,2021,T1,94.6,77.7,84.7,75.9
2021-04-01,2021,T2,97.6,89.2,92.9,88.2
2021-07-01,2021,T3,96.0,92.1,98.3,90.5
2021-10-01,2021,T4,99.2,98.3,106.6,96.2
2022-01-01,2022,T1,96.8,100.9,111.4,98.2
2022-04-01,2022,T2,100.2,103.0,109.5,101.3
2022-07-01,2022,T3,100.3,100.0,106.7,98.2
2022-10-01,2022,T4,103.7,102.7,111.8,100.4
2023-01-01,2023,T1,100.3,107.4,119.3,104.3
2023-04-01,2023,T2,103.5,104.3,109.9,102.9
2023-07-01,2023,T3,103.7,100.7,102.2,100.4
2023-10-01,2023,T4,105.9,105.5,106.1,105.4
2024-01-01,2024,T1,102.0,113.0,116.2,112.1
2024-04-01,2024,T2,105.6,105.7,101.9,106.7
2024-07-01,2024,T3,105.1,101.8,100.7,102.1
2024-10-01,2024,T4,106.2,107.8,106.8,108.1
2025-01-01,2025,T1,102.6,112.1,117.6,110.7
2025-04-01,2025,T2,105.5,106.0,102.8,106.8
2025-07-01,2025,T3,105.0,102.4,102.5,102.4
