variable,tipo,movilidad,flujo,unidad_medida,nivel,fecha,valor
gasto_medio,Excursionistas fronterizos,En automóviles,entrada,Dólares,nacional,2018-08-01,36.74
gasto_medio,Excursionistas fronterizos,Peatones,entrada,Dólares,nacional,2018-08-01,33.88
gasto_medio,Excursionistas fronterizos,Peatones,salida,Dólares,nacional,2018-08-01,34.46
gasto_medio,Excursionistas fronterizos,En automóviles,salida,Dólares,nacional,2018-08-01,44.0
gasto_medio,Excursionistas fronterizos,En automóviles,entrada,Dólares,nacional,2018-09-01,38.45
gasto_medio,Excursionistas fronterizos,Peatones,entrada,Dólares,nacional,2018-09-01,38.74
gasto_medio,Excursionistas fronterizos,Peatones,salida,Dólares,nacional,2018-09-01,40.84
gasto_medio,Excursionistas fronterizos,En automóviles,salida,Dólares,nacional,2018-09-01,46.4
gasto_medio,Excursionistas fronterizos,En automóviles,entrada,Dólares,nacional,2018-10-01,33.83
gasto_medio,Excursionistas fronterizos,Peatones,entrada,Dólares,nacional,2018-10-01,32.05
gasto_medio,Excursionistas fronterizos,Peatones,salida,Dólares,nacional,2018-10-01,35.43
gasto_medio,Excursionistas fronterizos,En automóviles,salida,Dólares,nacional,2018-10-01,43.89
gasto_medio,Excursionistas fronterizos,En automóviles,entrada,Dólares,nacional,2018-11-01,37.79
gasto_medio,Excursionistas fronterizos,Peatones,entrada,Dólares,nacional,2018-11-01,33.88
gasto_medio,Excursionistas fronterizos,Peatones,salida,Dólares,nacional,2018-11-01,41.41
gasto_medio,Excursionistas fronterizos,En automóviles,salida,Dólares,nacional,2018-11-01,47.85
gasto_medio,Excursionistas fronterizos,En automóviles,entrada,Dólares,nacional,2018-12-01,39.71
gasto_medio,Excursionistas fronterizos,Peatones,entrada,Dólares,nacional,2018-12-01,36.03
gasto_medio,Excursionistas fronterizos,Peatones,salida,Dólares,nacional,2018-12-01,51.62
gasto_medio,Excursionistas fronterizos,En automóviles,salida,Dólares,nacional,2018-12-01,65.13
gasto_medio,Excursionistas fronterizos,En automóviles,entrada,Dólares,nacional,2019-01-01,37.2
gasto_medio,Excursionistas fronterizos,Peatones,entrada,Dólares,nacional,2019-01-01,34.64
gasto_medio,Excursionistas fronterizos,Peatones,salida,Dólares,nacional,2019-01-01,41.55
gasto_medio,Excursionistas fronterizos,En automóviles,salida,Dólares,nacional,2019-01-01,50.35
gasto_medio,Excursionistas fronterizos,En automóviles,entrada,Dólares,nacional,2019-02-01,35.42
gasto_medio,Excursionistas fronterizos,Peatones,entrada,Dólares,nacional,2019-02-01,34.78
gasto_medio,Excursionistas fronterizos,Peatones,salida,Dólares,nacional,2019-02-01,38.5
gasto_medio,Excursionistas fronterizos,En automóviles,salida,Dólares,nacional,2019-02-01,42.44
gasto_medio,Excursionistas fronterizos,En automóviles,entrada,Dólares,nacional,2019-03-01,36.27
gasto_medio,Excursionistas fronterizos,Peatones,entrada,Dólares,nacional,2019-03-01,32.24
gasto_medio,Excursionistas fronterizos,Peatones,salida,Dólares,nacional,2019-03-01,37.98
gasto_medio,Excursionistas fronterizos,En automóviles,salida,Dólares,nacional,2019-03-01,45.67
gasto_medio,Excursionistas fronterizos,En automóviles,entrada,Dólares,nacional,2019-04-01,41.95
gasto_medio,Excursionistas fronterizos,Peatones,entrada,Dólares,nacional,2019-04-01,32.04
gasto_medio,Excursionistas fronterizos,Peatones,salida,Dólares,nacional,2019-04-01,35.53
gasto_medio,Excursionistas fronterizos,En automóviles,salida,Dólares,nacional,2019-04-01,45.39
gasto_medio,Excursionistas fronterizos,En automóviles,entrada,Dólares,nacional,2019-05-01,38.74
gasto_medio,Excursionistas fronterizos,Peatones,entrada,Dólares,nacional,2019-05-01,34.05
gasto_medio,Excursionistas fronterizos,Peatones,salida,Dólares,nacional,2019-05-01,37.98
gasto_medio,Excursionistas fronterizos,En automóviles,salida,Dólares,nacional,2019-05-01,46.21
gasto_medio,Excursionistas fronterizos,En automóviles,entrada,Dólares,nacional,2019-06-01,40.9
gasto_medio,Excursionistas fronterizos,Peatones,entrada,Dólares,nacional,2019-06-01,38.66
gasto_medio,Excursionistas fronterizos,Peatones,salida,Dólares,nacional,2019-06-01,37.4
gasto_medio,Excursionistas fronterizos,En automóviles,salida,Dólares,nacional,2019-06-01,49.99
gasto_medio,Excursionistas fronterizos,En automóviles,entrada,Dólares,nacional,2019-07-01,38.98
gasto_medio,Excursionistas fronterizos,Peatones,entrada,Dólares,nacional,2019-07-01,35.52
gasto_medio,Excursionistas fronterizos,Peatones,salida,Dólares,nacional,2019-07-01,37.03
gasto_medio,Excursionistas fronterizos,En automóviles,salida,Dólares,nacional,2019-07-01,50.87
gasto_medio,Excursionistas fronterizos,En automóviles,entrada,Dólares,nacional,2019-08-01,38.32
gasto_medio,Excursionistas fronterizos,Peatones,entrada,Dólares,nacional,2019-08-01,36.86
gasto_medio,Excursionistas fronterizos,Peatones,salida,Dólares,nacional,2019-08-01,38.41
gasto_medio,Excursionistas fronterizos,En automóviles,salida,Dólares,nacional,2019-08-01,49.61
gasto_medio,Excursionistas fronterizos,En automóviles,entrada,Dólares,nacional,2019-09-01,35.09
gasto_medio,Excursionistas fronterizos,Peatones,entrada,Dólares,nacional,2019-09-01,31.48
gasto_medio,Excursionistas fronterizos,Peatones,salida,Dólares,nacional,2019-09-01,36.63
gasto_medio,Excursionistas fronterizos,En automóviles,salida,Dólares,nacional,2019-09-01,48.51
gasto_medio,Excursionistas fronterizos,En automóviles,entrada,Dólares,nacional,2019-10-01,34.25
gasto_medio,Excursionistas fronterizos,Peatones,entrada,Dólares,nacional,2019-10-01,28.79
gasto_medio,Excursionistas fronterizos,Peatones,salida,Dólares,nacional,2019-10-01,37.48
gasto_medio,Excursionistas fronterizos,En automóviles,salida,Dólares,nacional,2019-10-01,50.87
gasto_medio,Excursionistas fronterizos,En automóviles,entrada,Dólares,nacional,2019-11-01,36.46
gasto_medio,Excursionistas fronterizos,Peatones,entrada,Dólares,nacional,2019-11-01,27.34
gasto_medio,Excursionistas fronterizos,Peatones,salida,Dólares,nacional,2019-11-01,43.74
gasto_medio,Excursionistas fronterizos,En automóviles,salida,Dólares,nacional,2019-11-01,54.35
gasto_medio,Excursionistas fronterizos,En automóviles,entrada,Dólares,nacional,2019-12-01,41.41
gasto_medio,Excursionistas fronterizos,Peatones,entrada,Dólares,nacional,2019-12-01,33.17
gasto_medio,Excursionistas fronterizos,Peatones,salida,Dólares,nacional,2019-12-01,55.18
gasto_medio,Excursionistas fronterizos,En automóviles,salida,Dólares,nacional,2019-12-01,57.65
gasto_medio,Excursionistas fronterizos,En automóviles,entrada,Dólares,nacional,2020-01-01,38.02
gasto_medio,Excursionistas fronterizos,Peatones,entrada,Dólares,nacional,2020-01-01,30.8
gasto_medio,Excursionistas fronterizos,Peatones,salida,Dólares,nacional,2020-01-01,39.72
gasto_medio,Excursionistas fronterizos,En automóviles,salida,Dólares,nacional,2020-01-01,53.22
gasto_medio,Excursionistas fronterizos,En automóviles,entrada,Dólares,nacional,2020-02-01,38.01
gasto_medio,Excursionistas fronterizos,Peatones,entrada,Dólares,nacional,2020-02-01,33.72
gasto_medio,Excursionistas fronterizos,Peatones,salida,Dólares,nacional,2020-02-01,41.43
gasto_medio,Excursionistas fronterizos,En automóviles,salida,Dólares,nacional,2020-02-01,54.24
gasto_medio,Excursionistas fronterizos,En automóviles,entrada,Dólares,nacional,2020-03-01,41.61
gasto_medio,Excursionistas fronterizos,Peatones,entrada,Dólares,nacional,2020-03-01,34.47
gasto_medio,Excursionistas fronterizos,Peatones,salida,Dólares,nacional,2020-03-01,37.07
gasto_medio,Excursionistas fronterizos,En automóviles,salida,Dólares,nacional,2020-03-01,46.44
gasto_medio,Excursionistas fronterizos,En automóviles,entrada,Dólares,nacional,2020-04-01,42.32
gasto_medio,Excursionistas fronterizos,Peatones,entrada,Dólares,nacional,2020-04-01,36.8
gasto_medio,Excursionistas fronterizos,Peatones,salida,Dólares,nacional,2020-04-01,36.78
gasto_medio,Excursionistas fronterizos,En automóviles,salida,Dólares,nacional,2020-04-01,47.38
gasto_medio,Excursionistas fronterizos,En automóviles,entrada,Dólares,nacional,2020-05-01,40.58
gasto_medio,Excursionistas fronterizos,Peatones,entrada,Dólares,nacional,2020-05-01,34.83
gasto_medio,Excursionistas fronterizos,Peatones,salida,Dólares,nacional,2020-05-01,36.22
gasto_medio,Excursionistas fronterizos,En automóviles,salida,Dólares,nacional,2020-05-01,48.18
gasto_medio,Excursionistas fronterizos,En automóviles,entrada,Dólares,nacional,2020-06-01,40.2
gasto_medio,Excursionistas fronterizos,Peatones,entrada,Dólares,nacional,2020-06-01,34.39
gasto_medio,Excursionistas fronterizos,Peatones,salida,Dólares,nacional,2020-06-01,53.7
gasto_medio,Excursionistas fronterizos,En automóviles,salida,Dólares,nacional,2020-06-01,35.81
gasto_medio,Excursionistas fronterizos,En automóviles,entrada,Dólares,nacional,2020-07-01,42.24
gasto_medio,Excursionistas fronterizos,Peatones,entrada,Dólares,nacional,2020-07-01,40.63
gasto_medio,Excursionistas fronterizos,Peatones,salida,Dólares,nacional,2020-07-01,38.42
gasto_medio,Excursionistas fronterizos,En automóviles,salida,Dólares,nacional,2020-07-01,49.21
gasto_medio,Excursionistas fronterizos,En automóviles,entrada,Dólares,nacional,2020-08-01,37.98
gasto_medio,Excursionistas fronterizos,Peatones,entrada,Dólares,nacional,2020-08-01,39.87
gasto_medio,Excursionistas fronterizos,Peatones,salida,Dólares,nacional,2020-08-01,52.99
gasto_medio,Excursionistas fronterizos,En automóviles,salida,Dólares,nacional,2020-08-01,50.73
gasto_medio,Excursionistas fronterizos,En automóviles,entrada,Dólares,nacional,2020-09-01,43.76
gasto_medio,Excursionistas fronterizos,Peatones,entrada,Dólares,nacional,2020-09-01,34.18
gasto_medio,Excursionistas fronterizos,Peatones,salida,Dólares,nacional,2020-09-01,37.49
gasto_medio,Excursionistas fronterizos,En automóviles,salida,Dólares,nacional,2020-09-01,47.51
gasto_medio,Excursionistas fronterizos,En automóviles,entrada,Dólares,nacional,2020-10-01,41.1
gasto_medio,Excursionistas fronterizos,Peatones,entrada,Dólares,nacional,2020-10-01,33.8
gasto_medio,Excursionistas fronterizos,Peatones,salida,Dólares,nacional,2020-10-01,37.97
gasto_medio,Excursionistas fronterizos,En automóviles,salida,Dólares,nacional,2020-10-01,50.02
gasto_medio,Excursionistas fronterizos,En automóviles,entrada,Dólares,nacional,2020-11-01,41.9
gasto_medio,Excursionistas fronterizos,Peatones,entrada,Dólares,nacional,2020-11-01,34.25
gasto_medio,Excursionistas fronterizos,Peatones,salida,Dólares,nacional,2020-11-01,37.84
gasto_medio,Excursionistas fronterizos,En automóviles,salida,Dólares,nacional,2020-11-01,50.35
gasto_medio,Excursionistas fronterizos,En automóviles,entrada,Dólares,nacional,2020-12-01,45.34
gasto_medio,Excursionistas fronterizos,Peatones,entrada,Dólares,nacional,2020-12-01,35.39
gasto_medio,Excursionistas fronterizos,Peatones,salida,Dólares,nacional,2020-12-01,41.11
gasto_medio,Excursionistas fronterizos,En automóviles,salida,Dólares,nacional,2020-12-01,58.17
gasto_medio,Excursionistas fronterizos,En automóviles,entrada,Dólares,nacional,2021-01-01,51.62
gasto_medio,Excursionistas fronterizos,Peatones,entrada,Dólares,nacional,2021-01-01,40.42
gasto_medio,Excursionistas fronterizos,Peatones,salida,Dólares,nacional,2021-01-01,38.22
gasto_medio,Excursionistas fronterizos,En automóviles,salida,Dólares,nacional,2021-01-01,50.96
gasto_medio,Excursionistas fronterizos,En automóviles,entrada,Dólares,nacional,2021-02-01,49.19
gasto_medio,Excursionistas fronterizos,Peatones,entrada,Dólares,nacional,2021-02-01,44.29
gasto_medio,Excursionistas fronterizos,Peatones,salida,Dólares,nacional,2021-02-01,41.51
gasto_medio,Excursionistas fronterizos,En automóviles,salida,Dólares,nacional,2021-02-01,55.61
gasto_medio,Excursionistas fronterizos,En automóviles,entrada,Dólares,nacional,2021-03-01,52.54
gasto_medio,Excursionistas fronterizos,Peatones,entrada,Dólares,nacional,2021-03-01,45.35
gasto_medio,Excursionistas fronterizos,Peatones,salida,Dólares,nacional,2021-03-01,43.71
gasto_medio,Excursionistas fronterizos,En automóviles,salida,Dólares,nacional,2021-03-01,54.65
gasto_medio,Excursionistas fronterizos,En automóviles,entrada,Dólares,nacional,2021-04-01,52.81
gasto_medio,Excursionistas fronterizos,Peatones,entrada,Dólares,nacional,2021-04-01,45.38
gasto_medio,Excursionistas fronterizos,Peatones,salida,Dólares,nacional,2021-04-01,45.99
gasto_medio,Excursionistas fronterizos,En automóviles,salida,Dólares,nacional,2021-04-01,48.34
gasto_medio,Excursionistas fronterizos,En automóviles,entrada,Dólares,nacional,2021-05-01,55.43
gasto_medio,Excursionistas fronterizos,Peatones,entrada,Dólares,nacional,2021-05-01,46.72
gasto_medio,Excursionistas fronterizos,Peatones,salida,Dólares,nacional,2021-05-01,45.84
gasto_medio,Excursionistas fronterizos,En automóviles,salida,Dólares,nacional,2021-05-01,51.13
gasto_medio,Excursionistas fronterizos,En automóviles,entrada,Dólares,nacional,2021-06-01,55.39
gasto_medio,Excursionistas fronterizos,Peatones,entrada,Dólares,nacional,2021-06-01,48.56
gasto_medio,Excursionistas fronterizos,Peatones,salida,Dólares,nacional,2021-06-01,47.75
gasto_medio,Excursionistas fronterizos,En automóviles,salida,Dólares,nacional,2021-06-01,44.04
gasto_medio,Excursionistas fronterizos,En automóviles,entrada,Dólares,nacional,2021-07-01,57.93
gasto_medio,Excursionistas fronterizos,Peatones,entrada,Dólares,nacional,2021-07-01,46.67
gasto_medio,Excursionistas fronterizos,Peatones,salida,Dólares,nacional,2021-07-01,54.19
gasto_medio,Excursionistas fronterizos,En automóviles,salida,Dólares,nacional,2021-07-01,53.27
gasto_medio,Excursionistas fronterizos,En automóviles,entrada,Dólares,nacional,2021-08-01,59.52
gasto_medio,Excursionistas fronterizos,Peatones,entrada,Dólares,nacional,2021-08-01,49.04
gasto_medio,Excursionistas fronterizos,Peatones,salida,Dólares,nacional,2021-08-01,48.42
gasto_medio,Excursionistas fronterizos,En automóviles,salida,Dólares,nacional,2021-08-01,50.23
gasto_medio,Excursionistas fronterizos,En automóviles,entrada,Dólares,nacional,2021-09-01,62.18
gasto_medio,Excursionistas fronterizos,Peatones,entrada,Dólares,nacional,2021-09-01,51.47
gasto_medio,Excursionistas fronterizos,Peatones,salida,Dólares,nacional,2021-09-01,43.99
gasto_medio,Excursionistas fronterizos,En automóviles,salida,Dólares,nacional,2021-09-01,38.43
gasto_medio,Excursionistas fronterizos,En automóviles,entrada,Dólares,nacional,2021-10-01,60.61
gasto_medio,Excursionistas fronterizos,Peatones,entrada,Dólares,nacional,2021-10-01,45.82
gasto_medio,Excursionistas fronterizos,Peatones,salida,Dólares,nacional,2021-10-01,47.56
gasto_medio,Excursionistas fronterizos,En automóviles,salida,Dólares,nacional,2021-10-01,48.24
gasto_medio,Excursionistas fronterizos,En automóviles,entrada,Dólares,nacional,2021-11-01,59.59
gasto_medio,Excursionistas fronterizos,Peatones,entrada,Dólares,nacional,2021-11-01,43.6
gasto_medio,Excursionistas fronterizos,Peatones,salida,Dólares,nacional,2021-11-01,55.92
gasto_medio,Excursionistas fronterizos,En automóviles,salida,Dólares,nacional,2021-11-01,54.24
gasto_medio,Excursionistas fronterizos,En automóviles,entrada,Dólares,nacional,2021-12-01,54.63
gasto_medio,Excursionistas fronterizos,Peatones,entrada,Dólares,nacional,2021-12-01,45.34
gasto_medio,Excursionistas fronterizos,Peatones,salida,Dólares,nacional,2021-12-01,60.81
gasto_medio,Excursionistas fronterizos,En automóviles,salida,Dólares,nacional,2021-12-01,58.47
gasto_medio,Excursionistas fronterizos,En automóviles,entrada,Dólares,nacional,2022-01-01,56.03
