year,quarter,ivf_total_nacional,ivf_turistico_total,ivf_turistico_bienes,ivf_turistico_servicios
     1993,,57.3,73.6,110.7,64.1
,          T1,56.6,69.5,104.0,60.6
,          T2,57.2,74.2,110.6,64.8
,          T3,57.4,74.9,114.9,64.6
,          T4,58.2,75.8,113.4,66.2
     1994,,59.8,77.3,116.7,67.2
,          T1,57.9,72.5,107.8,63.4
,          T2,60.2,78.1,117.7,67.9
,          T3,59.8,79.3,121.4,68.5
,          T4,61.3,79.4,120.0,69.0
     1995,,56.3,70.8,105.9,61.8
,          T1,57.6,71.4,107.8,62.0
,          T2,54.7,70.2,105.2,61.2
,          T3,55.5,69.7,104.6,60.8
,          T4,57.4,72.0,105.9,63.3
     1996,,59.9,70.1,103.5,61.5
,          T1,58.5,69.0,102.0,60.6
,          T2,59.1,70.1,103.0,61.6
,          T3,59.7,69.3,103.9,60.5
,          T4,62.1,71.9,105.1,63.4
     1997,,64.1,73.4,108.5,64.4
,          T1,60.9,71.8,105.8,63.1
,          T2,64.2,73.7,108.9,64.6
,          T3,64.6,73.4,109.6,64.1
,          T4,66.9,74.7,109.6,65.7
     1998,,68.1,76.2,111.7,67.0
,          T1,67.1,74.5,109.6,65.4
,          T2,68.0,75.9,110.4,67.0
,          T3,68.4,77.1,114.1,67.5
,          T4,68.7,77.3,112.9,68.1
     1999,,69.9,77.6,112.1,68.7
,          T1,68.6,77.6,114.0,68.3
,          T2,69.6,77.6,111.0,69.0
,          T3,70.4,77.9,113.5,68.7
,          T4,71.0,77.3,109.7,68.9
     2000,,73.5,81.3,117.9,71.9
,          T1,72.6,80.4,117.9,70.8
,          T2,73.5,82.4,119.4,72.9
,          T3,74.4,81.2,117.6,71.9
,          T4,73.5,81.1,116.8,72.0
     2001,,72.9,81.4,118.5,71.9
,          T1,72.7,83.6,122.8,73.5
,          T2,73.2,83.0,120.7,73.3
,          T3,73.2,80.1,116.8,70.7
,          T4,72.6,79.0,113.5,70.1
     2002,,72.7,80.5,117.3,71.1
,          T1,69.9,79.8,117.6,70.0
,          T2,73.8,81.8,119.2,72.2
,          T3,73.4,79.9,117.9,70.1
,          T4,73.7,80.7,114.6,72.0
     2003,,73.5,81.6,120.2,71.6
,          T1,72.1,82.8,123.0,72.5
,          T2,74.0,82.5,121.4,72.4
,          T3,73.4,79.6,118.7,69.6
,          T4,74.4,81.4,117.6,72.0
     2004,,76.1,85.4,124.9,75.2
,          T1,74.4,85.0,125.6,74.5
,          T2,76.8,86.4,127.3,75.9
,          T3,75.9,83.7,123.2,73.6
,          T4,77.4,86.4,123.5,76.9
     2005,,77.7,86.1,125.1,76.1
,          T1,74.7,88.4,129.2,77.9
,          T2,78.5,87.4,125.8,77.5
,          T3,77.6,84.0,123.1,73.9
,          T4,79.8,84.7,122.3,75.0
     2006,,81.3,88.4,130.8,77.5
,          T1,79.1,87.6,129.9,76.7
,          T2,82.2,89.7,132.2,78.8
,          T3,81.5,86.4,128.7,75.5
,          T4,82.6,89.9,132.3,78.9
     2007,,83.2,91.1,131.6,80.7
,          T1,80.8,93.3,137.1,82.0
,          T2,83.9,92.1,132.7,81.6
,          T3,83.3,88.5,127.5,78.5
,          T4,84.7,90.5,129.1,80.6
     2008,,83.8,91.8,131.8,81.5
,          T1,81.3,94.2,136.4,83.4
,          T2,85.7,92.5,134.5,81.8
,          T3,84.1,87.8,125.3,78.1
,          T4,84.0,92.5,130.9,82.6
     2009,,78.8,88.3,126.7,78.4
,          T1,76.0,93.0,135.0,82.2
,          T2,77.3,84.6,120.9,75.2
,          T3,79.5,86.6,123.5,77.1
,          T4,82.5,89.1,127.4,79.2
     2010,,83.0,88.4,123.9,79.3
,          T1,79.7,91.8,130.2,82.0
,          T2,83.0,88.4,126.3,78.7
,          T3,83.5,86.6,122.4,77.4
,          T4,85.8,86.7,116.8,79.0
     2011,,86.0,89.7,121.7,81.4
,          T1,82.8,88.5,122.1,79.8
,          T2,85.3,88.5,120.7,80.3
,          T3,86.8,88.6,119.8,80.5
,          T4,89.2,93.1,124.3,85.1
     2012,,89.2,92.5,124.6,84.3
,          T1,87.0,92.0,125.5,83.4
