cve_entidad,desc_entidad,cve_municipio,desc_municipio,id_indicador,indicador,2018/m08,2018/m09,2018/m10,2018/m11,2018/m12,2019/m01,2019/m02,2019/m03,2019/m04,2019/m05,2019/m06,2019/m07,2019/m08,2019/m09,2019/m10,2019/m11,2019/m12,2020/m01,2020/m02,2020/m03,2020/m04,2020/m05,2020/m06,2020/m07,2020/m08,2020/m09,2020/m10,2020/m11,2020/m12,2021/m01,2021/m02,2021/m03,2021/m04,2021/m05,2021/m06,2021/m07,2021/m08,2021/m09,2021/m10,2021/m11,2021/m12,2022/m01,2022/m02,2022/m03,2022/m04,2022/m05,2022/m06,2022/m07,2022/m08,2022/m09,2022/m10,2022/m11,2022/m12,2023/m01,2023/m02,2023/m03,2023/m04,2023/m05,2023/m06,2023/m07,2023/m08,2023/m09,2023/m10,2023/m11,2023/m12,2024/m01,2024/m02,2024/m03,2024/m04,2024/m05,2024/m06,2024/m07,2024/m08,2024/m09,2024/m10,2024/m11,2024/m12,2025/m01,2025/m02,2025/m03,2025/m04,2025/m05,2025/m06,2025/m07,2025/m08,2025/m09,2025/m10,2025/m11,2025/m12,unidad_medida
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6207123161,"Número de visitantes internacionales que ingresaron al país, por tipo y medio de transporte>Excursionistas fronterizos>Peatones. Absoluto",725007,658334,776172,794624,742370,744735,738329,906686,888333,885665,744935,773319,727297,729322,768629,838613,891438,799819,787536,650756,354411,360008,308434,288636,257780,410479,499101,487121,442668,513708,481396,509481,494718,530449,516473,524155,510383,470767,519602,425106,414065,403069,377173,418436,437413,459415,438767,463259,461894,436608,469391,465621,475331,485055,443779,518022,459629,478601,486769,442458,426884,463824,481256,504603,554973,528427,555262,622774,586196,583508,635403,578976,687393,643791,744194,671793,781496,664350,594105,784308,698535,737990,597161,710921,769370,790558,848581,819678,854140,Entradas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6207123162,"Gasto total de los visitantes internacionales que ingresaron al país, por tipo y medio de transporte>Turistas fronterizos>En automóviles. Absoluto",90268996,69803948,77209846,85208344,97872239,90201552,78389159,90846757,90339783,88960422,91982457,109101302,97667353,98783282,98737690,95496718,101212861,97933849,83847459,90851290,20808132,24074933,20151806,31938353,32006871,54515008,51599886,47698028,60047400,61474899,52973392,77754845,74635082,81120472,85640139,98221814,103527544,99339680,92113375,86373273,73476925,74329935,63678328,86681437,88022932,87037039,89158451,110260362,102435006,104253141,113399372,95604964,124318588,104284856,91393378,102390056,97354080,104006281,124669649,150940570,129933308,123781122,119935800,117875883,122670221,111816679,94925062,125777832,116348075,119174182,144828368,182580979,142457199,182561935,150663987,145990374,156982784,159999014,130187320,134659559,146082487,161225552,176144610,193199345,190798516,181125397,164160429,173846166,200047105,Dólares
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6207123163,"Número de visitantes internacionales que ingresaron al país, por tipo y medio de transporte>Turistas de internación>Vía aérea. Absoluto",1423725,1071280,1322721,1564005,2028568,1749181,1740838,2037450,1627749,1535433,1706927,1731225,1429074,1053640,1350001,1612478,2060880,1814534,1851072,982673,29420,35822,134949,321736,360726,415140,610625,726832,1054098,675771,562070,926503,948734,1221663,1464375,1618949,1225356,1044185,1347518,1553864,2013124,1479782,1590223,2026585,1810469,1716501,1881781,2016659,1629782,1363894,1648340,1876178,2288974,2082327,2011644,2245899,1881422,1722023,1900709,2020928,1605675,1297489,1624408,1913759,2515060,2157472,2219256,2470215,1896747,1780753,1903379,1948641,1506661,1214702,1621797,1931886,2513747,2139519,2086458,2404793,1900589,1681661,1849224,1961382,1492896,1166162,1668067,1947818,2568653,Entradas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6207123164,"Gasto medio de los visitantes internacionales que ingresaron al país, por tipo y medio de transporte>Excursionistas fronterizos>En automóviles. Absoluto",36.74,38.45,33.83,37.79,39.71,37.2,35.42,36.27,41.95,38.74,40.9,38.98,38.32,35.09,34.25,36.46,41.41,38.02,38.01,41.61,42.32,40.58,40.2,42.24,37.98,43.76,41.1,41.9,45.34,51.62,49.19,52.54,52.81,55.43,55.39,57.93,59.52,62.18,60.61,59.59,54.63,56.03,55.28,60.68,58.16,58.73,60.31,55.06,60.52,58.89,59.79,57.76,57.99,59.03,60.21,61.09,59.34,64.59,71.06,62.52,63.63,61.53,59.82,61.85,61.02,59.37,60.51,63.55,61.56,68.1,70.12,62.63,67.05,59.58,68.85,60.44,64.05,63.1,64.47,59.6,60.36,64.07,64.12,64.09,62.14,62.68,63.19,64.01,63.96,Dólares
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6207123165,"Número de visitantes internacionales que ingresaron al país, por tipo y medio de transporte>Turistas de internación>Vía terrestre. Absoluto",271940,217667,242160,368633,603583,212106,215704,321560,273921,300243,456385,466065,322613,229658,283908,386284,654360,228419,248994,205365,55196,108710,173460,207731,172041,178623,211953,258627,428148,142234,135096,250441,236230,288623,363808,393375,211048,207254,249283,339089,625728,173030,193171,300831,287160,288593,404498,458079,283185,267474,330048,404527,703855,220513,228170,333210,278572,290728,414390,410824,252029,230524,247885,328306,628376,225949,210879,310563,218462,293760,373883,403842,303478,244767,317902,356998,634647,249983,247958,336806,312515,358603,430158,467439,356648,289511,360100,421524,673132,Entradas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6207123166,"Número de visitantes internacionales que ingresaron al país, por tipo y medio de transporte>Turistas fronterizos>En automóviles. Absoluto",1460324,1276384,1263211,1237668,1310166,1228736,1150981,1549854,1415917,1320677,1444232,1657739,1501565,1436183,1674225,1525851,1691960,1461464,1360608,1302368,539498,590141,497010,686152,678548,1005107,995777,898223,935115,870466,709218,893876,921712,925852,1071988,1099508,1094613,981159,940202,827738,855903,788587,685659,796948,815072,804264,870492,997613,971205,948851,1013961,883379,1035539,941477,810409,927804,931579,987926,1049712,1310022,1150669,1174605,1101815,1019645,1209644,1050003,844739,1149301,1154488,1097673,1173844,1393233,1355888,1564990,1452916,1363620,1378169,1297836,1166249,1177191,1290833,1472979,1561013,1537926,1651443,1459609,1402600,1487015,1638987,Entradas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6207123167,"Número de visitantes internacionales que ingresaron al país, por tipo y medio de transporte>Excursionistas fronterizos>En automóviles. Absoluto",3133958,2518838,3203762,2601509,2321118,2725554,2736526,2957687,2647160,2870900,2615940,2700367,2997937,2708177,3013876,3041435,2634074,2741397,2773523,2496188,1097160,1134730,1136793,1176100,845045,1199854,1417051,1339060,1260483,1363560,1331521,1415130,1364525,1403557,1233013,1375483,1238098,1275857,1353880,1193604,1228736,1143475,1146982,1264868,1184236,1281553,1241303,1256693,1245545,1220569,1472533,1370016,1459637,1417807,1334908,1569912,1467769,1535800,1588240,1412547,1422797,1349497,1541406,1544306,1739832,1558033,1669349,1829429,1807288,2052627,2207129,2136216,2020893,1815868,2220080,2026053,2259551,2266953,1985296,2267262,2268292,2742526,2659247,2616861,2625367,2564903,2746233,2677404,2691340,Entradas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6207123168,"Gasto medio de los visitantes internacionales que ingresaron al país, por tipo y medio de transporte>Turistas de internación>Vía terrestre. Absoluto",388.64,368.62,306.07,265.4,273.35,525.93,431,389.67,416.8,356.69,307.74,293,357.59,306.06,309.93,271.6,270.04,357.25,326.1,405.92,403.66,361.93,300.36,362.18,403.82,392.09,322.73,340.73,287.16,363.32,324.49,313.58,318.63,328.5,333.64,329.13,302.97,327.34,328.67,353.25,313.03,369.64,337.52,335.86,372.77,338.81,324.78,353.46,383.72,365.46,330.85,304.35,385.32,445.4,337.09,302.95,305.77,315.62,284.34,360.26,381.46,281.1,261.11,307.61,350.12,404.59,321.47,304.85,314.8,367.87,313.07,382.63,332.3,329.41,296.25,320.28,322.53,378.25,333.9,342.74,306.07,308.21,310.91,358.67,372.74,292.11,280.11,291.81,353.19,Dólares
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6207123169,"Gasto medio de los visitantes internacionales que ingresaron al país, por tipo y medio de transporte>Excursionistas en cruceros. Absoluto",67.34,65.98,66.91,67.52,67.99,68.47,68.09,68.47,69.12,68.14,68.07,68.93,68.77,68.39,70.5,69.12,69.36,70.24,70,72.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.9,67.02,67.16,70.22,68.31,72.55,72.32,70.9,72.29,75.91,74.89,76.15,77.39,76.86,77.51,77.48,77.65,78.78,79.67,80.96,80.59,81.19,79.96,80.74,80.51,80.23,81.51,79.45,80.17,80.4,81.79,83.93,83.16,84.38,83.9,82.04,81.75,82.35,82.6,82.97,85.05,84.05,85.3,85.63,85.51,85.65,84.44,83.49,81.31,83.08,82,80.83,84.97,86.03,86.77,Dólares
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6207123170,"Gasto total de los visitantes internacionales que ingresaron al país, por tipo y medio de transporte>Turistas de internación>Vía aérea. Absoluto",1358750907,1080454557,1261147916,1434120416,1984542826,1878990371,1871198780,2087694630,1675775486,1549815108,1558326203,1733021816,1524954202,1073536095,1246760206,1488746812,1973341591,1872136211,1979295399,1007317196,22095331,26746657,102268737,318033283,355253310,397434092,546516243,638003220,1004516560,711262732,603472698,964749272,1018707059,1297786797,1659947226,1856541165,1508202762,1173088142,1497452118,1786061129,2117999009,1712515304,1862988122,2324391702,2066233577,1909383604,2026779929,2263417175,1847265253,1442596895,1657336169,2028320534,2443455550,2576396804,2445615556,2691364476,2236136719,1891387311,2083010715,2168405121,1715246559,1364064096,1649884443,2060315439,2817201451,2722135182,2797368160,3019150166,2286690113,1986083509,2084966969,2138617661,1679570853,1317434459,1712533252,2238351173,3042069640,2795842196,2767887260,3131955404,2530243819,2056363201,2166384422,2341174314,1645031746,1295478479,1852096467,2372688603,2973878191,Dólares
