,ivf_total_nacional,ivf_turistico_total,ivf_turistico_bienes,ivf_turistico_servicios
gasto_total__turistas_de_internacion__via_aerea__entrada,0.0,4.067232,0.0,0.0
gasto_total__turistas_de_internacion__via_aerea__salida,0.0,1.4651,2.4e-05,0.000113
gasto_total__turistas_fronterizos__en_automoviles__entrada,0.0,0.689889,0.0,0.0
gasto_total__excursionistas_fronterizos__en_automoviles__entrada,0.0,0.374955,0.000477,1.6e-05
gasto_total__excursionistas_fronterizos__peatones__entrada,0.0,0.173605,1e-05,5.4e-05
gasto_total__excursionistas_fronterizos__en_automoviles__salida,0.0,0.107719,0.0,0.0
gasto_total__excursionistas_fronterizos__peatones__salida,0.0,0.040512,6.7e-05,4.2e-05
gasto_total__turistas_fronterizos__en_automoviles__salida,0.0,0.023693,9.6e-05,5.1e-05
num_visitantes__turistas_de_internacion__via_aerea__entrada,0.0,0.014456,0.0,0.0
num_visitantes__turistas_de_internacion__via_aerea__salida,0.0,0.005615,0.0,0.0
num_visitantes__turistas_de_internacion__via_terrestre__salida,0.0,0.000372,3e-06,1e-06
num_visitantes__turistas_de_internacion__via_terrestre__entrada,0.0,0.000247,2e-06,3e-06
gasto_total__turistas_de_internacion__via_terrestre__salida,0.0,1.4e-05,7.9e-05,2.4e-05
gasto_total__turistas_fronterizos__peatones__salida,0.0,0.0,1.1e-05,7e-06
gasto_medio__turistas_de_internacion__via_terrestre__entrada,0.0,1e-06,0.0,0.0
gasto_medio__turistas_de_internacion__via_aerea__salida,0.0,1e-06,0.0,0.0
gasto_medio__excursionistas_fronterizos__peatones__salida,0.0,0.0,0.0,0.0
num_visitantes__turistas_fronterizos__peatones__entrada,0.0,0.0,0.0,0.0
gasto_medio__excursionistas_fronterizos__en_automoviles__entrada,0.0,0.0,0.0,0.0
gasto_medio__excursionistas_fronterizos__en_automoviles__salida,0.0,0.0,0.0,0.0
gasto_total__turistas_de_internacion__via_terrestre__entrada,0.0,0.0,0.0,0.0
gasto_medio__turistas_fronterizos__peatones__entrada,0.0,0.0,0.0,0.0
gasto_medio__turistas_fronterizos__en_automoviles__entrada,0.0,0.0,0.0,0.0
gasto_total__turistas_fronterizos__peatones__entrada,0.0,0.0,0.0,0.0
num_visitantes__excursionistas_fronterizos__en_automoviles__entrada,0.0,0.0,0.0,0.0
gasto_medio__turistas_fronterizos__en_automoviles__salida,0.0,0.0,0.0,0.0
gasto_medio__turistas_de_internacion__via_terrestre__salida,0.0,0.0,0.0,0.0
gasto_medio__turistas_fronterizos__peatones__salida,0.0,0.0,0.0,0.0
num_visitantes__turistas_fronterizos__en_automoviles__entrada,0.0,0.0,0.0,0.0
num_visitantes__excursionistas_fronterizos__peatones__salida,0.0,0.0,0.0,0.0
num_visitantes__excursionistas_fronterizos__peatones__entrada,0.0,0.0,0.0,0.0
num_visitantes__excursionistas_fronterizos__en_automoviles__salida,0.0,0.0,0.0,0.0
num_visitantes__turistas_fronterizos__en_automoviles__salida,0.0,0.0,0.0,0.0
num_visitantes__turistas_fronterizos__peatones__salida,0.0,0.0,0.0,0.0
gasto_medio__turistas_de_internacion__via_aerea__entrada,0.0,0.0,0.0,0.0
gasto_medio__excursionistas_fronterizos__peatones__entrada,0.0,0.0,0.0,0.0
covid,0.0,0.0,0.0,0.0
