method,series,mae,rmse,mape,r2
zero,ivf_total_nacional,3.6643,5.5261,3.8395,-0.0117
zero,ivf_turistico_bienes,8.9759,12.9627,10.5677,0.1208
zero,ivf_turistico_servicios,8.5018,12.7001,10.7846,0.1265
zero,ivf_turistico_total,9.1087,12.6679,11.1434,0.1164
seasonal_mean,ivf_total_nacional,3.5842,5.3571,3.7502,0.0492
seasonal_mean,ivf_turistico_bienes,8.1277,12.3939,9.7605,0.1963
seasonal_mean,ivf_turistico_servicios,9.5812,13.2483,11.7928,0.0495
seasonal_mean,ivf_turistico_total,8.7711,12.2874,10.7226,0.1686
seasonal_naive,ivf_total_nacional,3.706,5.526,3.8782,-0.0117
seasonal_naive,ivf_turistico_bienes,8.5417,12.6724,10.1483,0.1598
seasonal_naive,ivf_turistico_servicios,8.3208,12.5492,10.581,0.1471
seasonal_naive,ivf_turistico_total,8.5221,12.2353,10.5175,0.1757
linear,ivf_total_nacional,3.5167,4.8783,3.6633,0.2116
linear,ivf_turistico_bienes,9.4262,14.2811,11.241,-0.0671
linear,ivf_turistico_servicios,7.3716,11.1499,9.3927,0.3267
linear,ivf_turistico_total,7.8645,11.7286,9.7829,0.2425
xgboost_backcast,ivf_total_nacional,3.6003,5.4454,3.7642,0.0176
xgboost_backcast,ivf_turistico_bienes,9.7975,14.7904,11.7307,-0.1445
xgboost_backcast,ivf_turistico_servicios,8.6189,12.4765,10.8094,0.157
xgboost_backcast,ivf_turistico_total,8.7232,12.3721,10.749,0.1571
